Latitude,Longitude,Name,Land,Ankunft,Abfahrt,Bewertung
18.40813,-33.93256,On Kloof,Südafrika,1677600000000000,1681315200000000,8.0
19.2435326,-34.4192429,Hermanus Waterfront Apartments,Südafrika,1681315200000000,1681488000000000,6.0
20.439759,-34.0278077,Dolittle Cottages,Südafrika,1681488000000000,1681747200000000,10.0
